1;Bohdan;Żmuda;bż57971@prac.biblioteka.pl;d%gt_^ż!?z;370998451;5100
2;Oscar;Skowron;os76611@prac.biblioteka.pl;ł5nvsa#o_9fuęgmufrz;654441783;5300
3;Valerii;Kosiński;vk72813@prac.biblioteka.pl;x1!^1^fćj;320544399;3500
4;Stefan;Lech;sl81553@prac.biblioteka.pl;5?xdy3c57ń;712247150;5600
5;Gertruda;Markowska;gm62938@prac.biblioteka.pl;a$^szt0ww;886440388;6300
6;Ksawery;Stanek;ks70222@prac.biblioteka.pl;ggc5ź@uęuźpłxąą0ev;806957517;6300
7;Karolina;Kurowska;kk17461@prac.biblioteka.pl;6lbń?siq&**6n;822882043;5300
8;Aleksandra;Kowal;ak80171@prac.biblioteka.pl;!ń*48qs$mt;311399667;3800
9;Bernadetta;Drzewiecka;bd19580@prac.biblioteka.pl;ą6z*ćżv0u;628608345;5000
10;Jeremi;Małecki;jm67246@prac.biblioteka.pl;*jj%m$mycu4tvtxfó;265635676;6800
11;Zyta;Żak;zż12208@prac.biblioteka.pl;!*5łrvł6hndńi5_uxińń;536694286;7000
12;Tobiasz;Piotrowski;tp36998@prac.biblioteka.pl;nqż%oą@zsgv;278302393;5900
13;Florian;Rybicki;fr24551@prac.biblioteka.pl;o5rayjśq0ń_ćasfr_ą;282271394;6500
14;Radosław;Pawlik;rp93291@prac.biblioteka.pl;13@qoeąz;675921027;7700
15;Tomasz;Godlewski;tg60241@prac.biblioteka.pl;3pgąoń?ąnt$w;857530507;6900
16;Ireneusz;Kucharczyk;ik80148@prac.biblioteka.pl;a?6*^$%&86ńą6q$ja;750566238;4900
17;Feliksa;Lis;fl89549@prac.biblioteka.pl;xp7n9ęo4%qąsśr;173208716;5900
18;Laura;Niewiadomska;ln83121@prac.biblioteka.pl;*$p-o^zg;934285159;7600
19;Radosław;Stefaniak;rs69355@prac.biblioteka.pl;e-&ygl9sa;934759412;4800
20;Regina;Matusiak;rm06477@prac.biblioteka.pl;6teqisvbpciu%ćć;407548394;5100
21;Emilia;Stefaniak;es02858@prac.biblioteka.pl;6ębfśp&z6bltt%źj;839737766;6300
22;Marlena;Jankowska;mj20599@prac.biblioteka.pl;w1l5b@@t0yńh;626353823;3500
23;Teodora;Flis;tf89371@prac.biblioteka.pl;sgłut&4%fńs$-@ęńkp73;738604415;6700
24;Fryderyk;Urbaniak;fu38449@prac.biblioteka.pl;wsy9jó!84ńud2iśń86p;223438442;7000
25;Nikola;Gruszczyńska;ng19772@prac.biblioteka.pl;ikfóu*avv;961929861;5300
26;Irena;Borek;ib32372@prac.biblioteka.pl;5zćłomlkłpsl;644963619;3900
27;Dzmitry;Nowakowski;dn44202@prac.biblioteka.pl;ć&u%mędx2ń#c__3;219843305;5700
28;Mykola;Kowalski;mk88066@prac.biblioteka.pl;0kńq_!ńfx@@w-u131;553172717;4200
29;Mia;Krupińska;mk73115@prac.biblioteka.pl;ęź8xfpm2z79gd9@ąqn;500667466;5700
30;Agnieszka;Wójtowicz;aw11258@prac.biblioteka.pl;3$r77l0cz5;270456557;7000
31;Jędrzej;Strzelczyk;js98689@prac.biblioteka.pl;wnżóc&^ćgfśfź5ó@qi;478977619;6000
